source,first_line,second_line,first_frame,second_frame,distance_m,similarity,label,first_view_count,second_view_count
outputs/memory_graph_backtrack_smoke_20260710_112254/trajectory_0/qwen_calls.jsonl,0,1,0,11,0.727328,0.618989,same_place,1,1
outputs/memory_graph_integrated_20260710_111028/trajectory_0/qwen_calls.jsonl,0,1,0,1,0.727328,0.618989,same_place,1,1
outputs/memory_graph_integrated_20260710_111028/trajectory_0/qwen_calls.jsonl,0,2,0,2,0.727328,0.62475,same_place,1,5
outputs/memory_graph_integrated_20260710_111028/trajectory_0/qwen_calls.jsonl,0,4,0,4,2.019417,0.548353,different_place,1,1
outputs/memory_graph_integrated_20260710_111028/trajectory_0/qwen_calls.jsonl,0,5,0,5,3.428131,0.494115,different_place,1,1
outputs/memory_graph_integrated_20260710_111028/trajectory_0/qwen_calls.jsonl,0,6,0,6,3.428131,0.548953,different_place,1,5
outputs/memory_graph_integrated_20260710_111028/trajectory_0/qwen_calls.jsonl,0,7,0,7,3.428131,0.489629,different_place,1,1
outputs/memory_graph_integrated_20260710_111028/trajectory_0/qwen_calls.jsonl,1,2,1,2,0.0,1.0,same_place,1,5
outputs/memory_graph_integrated_20260710_111028/trajectory_0/qwen_calls.jsonl,1,3,1,3,0.683013,0.635918,same_place,1,1
outputs/memory_graph_integrated_20260710_111028/trajectory_0/qwen_calls.jsonl,1,5,1,5,3.065668,0.59967,different_place,1,1
outputs/memory_graph_integrated_20260710_111028/trajectory_0/qwen_calls.jsonl,1,6,1,6,3.065668,0.632402,different_place,1,5
outputs/memory_graph_integrated_20260710_111028/trajectory_0/qwen_calls.jsonl,1,7,1,7,3.065668,0.632402,different_place,1,1
outputs/memory_graph_integrated_20260710_111028/trajectory_0/qwen_calls.jsonl,2,3,2,3,0.683013,0.874759,same_place,5,1
outputs/memory_graph_integrated_20260710_111028/trajectory_0/qwen_calls.jsonl,2,5,2,5,3.065668,0.769309,different_place,5,1
outputs/memory_graph_integrated_20260710_111028/trajectory_0/qwen_calls.jsonl,2,6,2,6,3.065668,0.769566,different_place,5,5
outputs/memory_graph_integrated_20260710_111028/trajectory_0/qwen_calls.jsonl,2,7,2,7,3.065668,0.683427,different_place,5,1
outputs/memory_graph_integrated_20260710_111028/trajectory_0/qwen_calls.jsonl,3,5,3,5,2.469672,0.812716,different_place,1,1
outputs/memory_graph_integrated_20260710_111028/trajectory_0/qwen_calls.jsonl,3,6,3,6,2.469672,0.812896,different_place,1,5
outputs/memory_graph_integrated_20260710_111028/trajectory_0/qwen_calls.jsonl,3,7,3,7,2.469672,0.652094,different_place,1,1
outputs/memory_graph_integrated_20260710_111028/trajectory_0/qwen_calls.jsonl,5,6,5,6,0.0,0.999998,same_place,1,5
outputs/memory_graph_integrated_20260710_111028/trajectory_0/qwen_calls.jsonl,5,7,5,7,0.0,0.66607,same_place,1,1
outputs/memory_graph_integrated_20260710_111028/trajectory_0/qwen_calls.jsonl,6,7,6,7,0.0,1.0,same_place,5,1
outputs/memory_pose_neutral_smoke_20260710_112732/trajectory_0/qwen_calls.jsonl,0,1,0,11,0.727328,0.618989,same_place,1,1
outputs/memory_pose_verified_20260710_113131/trajectory_0/qwen_calls.jsonl,0,1,0,11,0.727328,0.618989,same_place,1,1
outputs/memory_sidecar_v6_20260710_082251/trajectory_0/qwen_calls.jsonl,0,1,0,1,3e-06,0.726952,same_place,1,1
outputs/memory_sidecar_v6_20260710_082251/trajectory_0/qwen_calls.jsonl,0,2,0,2,3e-06,0.999918,same_place,1,5
outputs/memory_sidecar_v6_20260710_082251/trajectory_0/qwen_calls.jsonl,0,3,0,3,3e-06,0.708589,same_place,1,1
outputs/memory_sidecar_v6_20260710_082251/trajectory_0/qwen_calls.jsonl,0,4,0,4,3e-06,0.754485,same_place,1,5
outputs/memory_sidecar_v6_20260710_082251/trajectory_0/qwen_calls.jsonl,0,5,0,5,3e-06,0.517192,same_place,1,1
outputs/memory_sidecar_v6_20260710_082251/trajectory_0/qwen_calls.jsonl,0,6,0,6,3e-06,0.708709,same_place,1,5
outputs/memory_sidecar_v6_20260710_082251/trajectory_0/qwen_calls.jsonl,0,7,0,7,3e-06,0.668729,same_place,1,1
outputs/memory_sidecar_v6_20260710_082251/trajectory_0/qwen_calls.jsonl,1,2,1,2,0.0,1.0,same_place,1,5
outputs/memory_sidecar_v6_20260710_082251/trajectory_0/qwen_calls.jsonl,1,3,1,3,0.0,0.691306,same_place,1,1
outputs/memory_sidecar_v6_20260710_082251/trajectory_0/qwen_calls.jsonl,1,4,1,4,0.0,1.0,same_place,1,5
outputs/memory_sidecar_v6_20260710_082251/trajectory_0/qwen_calls.jsonl,1,5,1,5,0.0,0.466807,same_place,1,1
outputs/memory_sidecar_v6_20260710_082251/trajectory_0/qwen_calls.jsonl,1,6,1,6,0.0,0.691226,same_place,1,5
