threshold,tp,fp,tn,fn,precision,recall,f1,false_positive_rate
0.0,99,13,0,0,0.883929,1.0,0.938389,1.0
0.425044,99,13,0,0,0.883929,1.0,0.938389,1.0
0.425045,98,13,0,1,0.882883,0.989899,0.933333,1.0
0.443989,98,13,0,1,0.882883,0.989899,0.933333,1.0
0.44399,97,13,0,2,0.881818,0.979798,0.92823,1.0
0.458576,97,13,0,2,0.881818,0.979798,0.92823,1.0
0.458577,96,13,0,3,0.880734,0.969697,0.923077,1.0
0.466807,96,13,0,3,0.880734,0.969697,0.923077,1.0
0.466808,95,13,0,4,0.87963,0.959596,0.917874,1.0
0.489629,95,13,0,4,0.87963,0.959596,0.917874,1.0
0.48963,95,12,1,4,0.88785,0.959596,0.92233,0.923077
0.494115,95,12,1,4,0.88785,0.959596,0.92233,0.923077
0.494116,95,11,2,4,0.896226,0.959596,0.926829,0.846154
0.517192,95,11,2,4,0.896226,0.959596,0.926829,0.846154
0.517193,94,11,2,5,0.895238,0.949495,0.921569,0.846154
0.522613,94,11,2,5,0.895238,0.949495,0.921569,0.846154
0.522614,93,11,2,6,0.894231,0.939394,0.916256,0.846154
0.542755,93,11,2,6,0.894231,0.939394,0.916256,0.846154
0.542756,91,11,2,8,0.892157,0.919192,0.905473,0.846154
0.54684,91,11,2,8,0.892157,0.919192,0.905473,0.846154
0.546841,90,11,2,9,0.891089,0.909091,0.9,0.846154
0.548353,90,11,2,9,0.891089,0.909091,0.9,0.846154
0.548354,90,10,3,9,0.9,0.909091,0.904523,0.769231
0.548953,90,10,3,9,0.9,0.909091,0.904523,0.769231
0.548954,90,9,4,9,0.909091,0.909091,0.909091,0.692308
0.561201,90,9,4,9,0.909091,0.909091,0.909091,0.692308
0.561202,88,9,4,11,0.907216,0.888889,0.897959,0.692308
0.575652,88,9,4,11,0.907216,0.888889,0.897959,0.692308
0.575653,87,9,4,12,0.90625,0.878788,0.892308,0.692308
0.576449,87,9,4,12,0.90625,0.878788,0.892308,0.692308
0.57645,86,9,4,13,0.905263,0.868687,0.886598,0.692308
0.598972,86,9,4,13,0.905263,0.868687,0.886598,0.692308
0.598973,85,9,4,14,0.904255,0.858586,0.880829,0.692308
0.59967,85,9,4,14,0.904255,0.858586,0.880829,0.692308
0.599671,85,8,5,14,0.913978,0.858586,0.885417,0.615385
0.600829,85,8,5,14,0.913978,0.858586,0.885417,0.615385
0.60083,84,8,5,15,0.913043,0.848485,0.879581,0.615385
0.618989,84,8,5,15,0.913043,0.848485,0.879581,0.615385
0.61899,78,8,5,21,0.906977,0.787879,0.843243,0.615385
0.62475,78,8,5,21,0.906977,0.787879,0.843243,0.615385
0.624751,71,8,5,28,0.898734,0.717172,0.797753,0.615385
0.632402,71,8,5,28,0.898734,0.717172,0.797753,0.615385
0.632403,71,6,7,28,0.922078,0.717172,0.806818,0.461538
0.634814,71,6,7,28,0.922078,0.717172,0.806818,0.461538
0.634815,70,6,7,29,0.921053,0.707071,0.8,0.461538
0.635918,70,6,7,29,0.921053,0.707071,0.8,0.461538
0.635919,69,6,7,30,0.92,0.69697,0.793103,0.461538
0.64941,69,6,7,30,0.92,0.69697,0.793103,0.461538
0.649411,68,6,7,31,0.918919,0.686869,0.786127,0.461538
0.649661,68,6,7,31,0.918919,0.686869,0.786127,0.461538
0.649662,67,6,7,32,0.917808,0.676768,0.77907,0.461538
0.652094,67,6,7,32,0.917808,0.676768,0.77907,0.461538
0.652095,67,5,8,32,0.930556,0.676768,0.783626,0.384615
0.66607,67,5,8,32,0.930556,0.676768,0.783626,0.384615
0.666071,66,5,8,33,0.929577,0.666667,0.776471,0.384615
0.668729,66,5,8,33,0.929577,0.666667,0.776471,0.384615
0.66873,65,5,8,34,0.928571,0.656566,0.769231,0.384615
0.669873,65,5,8,34,0.928571,0.656566,0.769231,0.384615
0.669874,64,5,8,35,0.927536,0.646465,0.761905,0.384615
0.675806,64,5,8,35,0.927536,0.646465,0.761905,0.384615
0.675807,63,5,8,36,0.926471,0.636364,0.754491,0.384615
0.676006,63,5,8,36,0.926471,0.636364,0.754491,0.384615
0.676007,62,5,8,37,0.925373,0.626263,0.746988,0.384615
0.683427,62,5,8,37,0.925373,0.626263,0.746988,0.384615
0.683428,62,4,9,37,0.939394,0.626263,0.751515,0.307692
0.691226,62,4,9,37,0.939394,0.626263,0.751515,0.307692
0.691227,61,4,9,38,0.938462,0.616162,0.743902,0.307692
0.691306,61,4,9,38,0.938462,0.616162,0.743902,0.307692
0.691307,60,4,9,39,0.9375,0.606061,0.736196,0.307692
0.708589,60,4,9,39,0.9375,0.606061,0.736196,0.307692
0.70859,59,4,9,40,0.936508,0.59596,0.728395,0.307692
0.708709,59,4,9,40,0.936508,0.59596,0.728395,0.307692
0.70871,58,4,9,41,0.935484,0.585859,0.720497,0.307692
0.726952,58,4,9,41,0.935484,0.585859,0.720497,0.307692
0.726953,57,4,9,42,0.934426,0.575758,0.7125,0.307692
0.737023,57,4,9,42,0.934426,0.575758,0.7125,0.307692
0.737024,55,4,9,44,0.932203,0.555556,0.696203,0.307692
0.73715,55,4,9,44,0.932203,0.555556,0.696203,0.307692
0.737151,54,4,9,45,0.931034,0.545455,0.687898,0.307692
0.747344,54,4,9,45,0.931034,0.545455,0.687898,0.307692
0.747345,52,4,9,47,0.928571,0.525253,0.670968,0.307692
0.754485,52,4,9,47,0.928571,0.525253,0.670968,0.307692
0.754486,51,4,9,48,0.927273,0.515152,0.662338,0.307692
